school_name,Type,Grades,Location in Hamilton,year,enrolment,capacity,utilization_rate,portables,Site Acres,Building Gross (Ft2),gym,gym with stage,Number of gyms,Computer lab,Childcare Centre on site,auditorium,rec_centre,pool,Library,Cafeteria , Document 
Franklin Road,Elementary,(JK-8),Central Mountain,2017,342,463,0.74,0,7.75,"37,416",Yes,No,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Franklin Road,Elementary,(JK-8),Central Mountain,2022,336,463,0.73,0,7.75,"37,416",Yes,No,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
G.L. Armstrong,Elementary,(JK-8),Central Mountain,2012,338,633,0.53,0,4.55,"58,133",Yes ,Yes,2,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
George L. Armstrong,Elementary,(JK-8),Central Mountain,2017,287,633,0.45,0,4.55,"58,133",Yes,Yes,2,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
G.L. Armstrong,Elementary,(JK-8),Central Mountain,2022,236,633,0.37,0,4.55,"58,133",Yes,Yes,2,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Linden Park,Elementary,(JK-5),Central Mountain,2012,157,319,0.49,0,5.26,"28,187",Yes ,Yes ,1,Yes ,Yes ,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Closed in 2015 (refer to 'Properties sold since 1998É pdf') also Central Mountain ARC Report pdf"
Linden Park,Elementary,(JK-5),Central Mountain,2017,149,319,0.47,0,5.26,"28,187",Yes ,Yes ,1,Yes ,Yes ,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Linden Park,Elementary,(JK-5),Central Mountain,2022,136,319,0.43,0,5.26,"28,187",Yes ,Yes ,1,Yes ,Yes ,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Pauline Johnson,Elementary,(JK-5),Central Mountain,2012,254,314,0.81,0,9.2,"32,280",Yes ,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Pauline Johnson,Elementary,(JK-5),Central Mountain,2017,297,314,0.94,0,9.2,"32,280",Yes ,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Pauline Johnson,Elementary,(JK-5),Central Mountain,2022,323,314,1.03,0,9.2,"32,280",Yes ,Yes,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Queensdale,Elementary,(JK-6),Central Mountain,2012,190,279,0.68,0,4.72,"30,198",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Queensdale,Elementary,(JK-6),Central Mountain,2017,197,279,0.71,0,4.72,"30,198",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
